 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #387,0,0,0,2,99,0,1,0,2,0,0,0,0
eChild #388,0,1,0,3,20,0,0,0,2,0,1,0,0
eChild #389,0,2,0,4,74,0,5,0,0,0,3,0,0
eChild #390,0,0,0,1,90,0,2,0,0,0,0,0,0
eChild #391,0,3,0,4,124,0,0,0,1,0,3,0,0
eChild #392,0,1,1,0,40,0,3,0,0,0,1,0,1
eChild #393,0,3,1,0,74,0,1,0,1,0,3,0,1
eChild #394,0,1,0,4,81,0,1,0,1,0,1,0,0
eChild #395,0,0,0,3,91,0,0,0,1,0,0,0,0
eChild #396,0,0,0,4,111,0,0,0,0,0,0,0,0
eChild #397,0,1,0,1,23,0,2,0,0,0,2,0,0
eChild #398,0,0,0,2,17,0,0,0,2,0,0,0,0
eChild #399,0,2,0,1,425,0,7,0,0,0,2,0,0
eChild #400,0,0,1,0,156,0,3,0,1,0,0,0,1
eChild #401,0,0,0,10,45,0,0,0,0,0,0,0,0
eChild #402,0,1,0,5,9,0,3,0,1,0,1,0,0
eChild #403,0,3,0,5,131,0,1,0,2,0,3,0,0
eChild #404,0,2,0,1,46,0,0,0,0,0,2,0,0
eChild #405,0,0,1,19,109,0,1,0,1,0,1,0,1
eChild #406,0,0,0,1,53,0,0,0,0,0,0,0,0
eChild #407,0,0,2,0,0,0,3,0,0,0,2,0,2
eChild #408,0,0,0,1,86,0,5,0,1,0,0,0,0
eChild #409,0,0,1,0,27,0,1,0,1,0,1,0,1
eChild #410,0,1,0,6,39,0,0,0,0,0,2,0,0
eChild #411,0,0,0,2,12,0,1,0,0,0,0,0,0
eChild #412,0,2,0,3,91,0,0,0,0,0,2,0,0
eChild #413,0,1,1,0,85,0,5,0,0,0,1,0,1
eChild #414,0,2,0,1,156,0,0,0,0,0,2,0,0
eChild #415,0,0,0,12,28,0,2,0,3,0,0,0,0
eChild #416,0,0,0,3,81,0,0,0,0,0,0,0,0
eChild #417,0,0,0,2,43,0,1,0,1,0,0,0,0
eChild #418,0,0,0,12,327,0,2,0,2,0,0,0,0
eChild #419,0,0,0,2,317,0,1,0,0,0,0,0,0
eChild #420,0,0,0,2,171,0,0,0,0,0,0,0,0
eChild #421,0,5,0,1,184,0,3,0,1,0,6,0,0
eChild #422,0,1,0,5,29,0,0,0,3,0,1,0,0
eChild #423,0,0,1,11,74,0,1,0,2,0,1,0,1
eChild #424,0,0,0,8,10,0,3,0,1,0,0,0,0
eChild #425,0,2,0,1,135,0,2,0,1,0,2,0,0
eChild #426,0,3,1,2,48,0,4,0,2,0,3,0,1
eChild #427,0,1,0,3,83,0,11,0,0,0,1,0,0
eChild #428,0,0,0,7,72,0,0,0,0,0,0,0,0
eChild #429,0,0,1,0,81,0,1,0,2,0,1,0,1
